code,municipalityCode,name,locality,ward,type,lat,lon
CP-HMC-001,HMC,Shibpur Point 1,Shibpur,Ward 1,MRF,22.568763,88.297650
CP-HMC-002,HMC,Shibpur Point 2,Shibpur,Ward 2,BIN_CLUSTER,22.564894,88.299885
CP-HMC-003,HMC,Shibpur Point 3,Shibpur,Ward 3,SCRAP_YARD,22.567537,88.292805
CP-HMC-004,HMC,Shibpur Point 4,Shibpur,Ward 4,COMPOST_HUB,22.570755,88.302744
CP-HMC-005,HMC,Shibpur Point 5,Shibpur,Ward 5,MRF,22.559892,88.296265
CP-HMC-006,HMC,Salkia Point 1,Salkia,Ward 8,BIN_CLUSTER,22.606882,88.334989
CP-HMC-007,HMC,Salkia Point 2,Salkia,Ward 9,SCRAP_YARD,22.602515,88.335409
CP-HMC-008,HMC,Salkia Point 3,Salkia,Ward 10,COMPOST_HUB,22.607503,88.330009
CP-HMC-009,HMC,Salkia Point 4,Salkia,Ward 11,MRF,22.606878,88.340523
CP-HMC-010,HMC,Salkia Point 5,Salkia,Ward 12,BIN_CLUSTER,22.599216,88.329959
CP-HMC-011,HMC,Bally Point 1,Bally,Ward 15,SCRAP_YARD,22.648695,88.344580
CP-HMC-012,HMC,Bally Point 2,Bally,Ward 16,COMPOST_HUB,22.644523,88.343118
CP-HMC-013,HMC,Bally Point 3,Bally,Ward 17,MRF,22.651063,88.340257
CP-HMC-014,HMC,Bally Point 4,Bally,Ward 18,BIN_CLUSTER,22.646696,88.349674
CP-HMC-015,HMC,Bally Point 5,Bally,Ward 19,SCRAP_YARD,22.643453,88.336703
CP-HMC-016,HMC,Liluah Point 1,Liluah,Ward 22,COMPOST_HUB,22.629059,88.352815
CP-HMC-017,HMC,Liluah Point 2,Liluah,Ward 23,MRF,22.625747,88.349704
CP-HMC-018,HMC,Liluah Point 3,Liluah,Ward 24,BIN_CLUSTER,22.632798,88.349839
CP-HMC-019,HMC,Liluah Point 4,Liluah,Ward 25,SCRAP_YARD,22.625382,88.356657
CP-HMC-020,HMC,Liluah Point 5,Liluah,Ward 26,COMPOST_HUB,22.627074,88.343346
CP-HMC-021,HMC,Belur Point 1,Belur,Ward 29,MRF,22.621504,88.362201
CP-HMC-022,HMC,Belur Point 2,Belur,Ward 30,BIN_CLUSTER,22.619576,88.357934
CP-HMC-023,HMC,Belur Point 3,Belur,Ward 31,SCRAP_YARD,22.626018,88.361043
CP-HMC-024,HMC,Belur Point 4,Belur,Ward 32,COMPOST_HUB,22.616733,88.364180
CP-HMC-025,HMC,Belur Point 5,Belur,Ward 33,MRF,22.623092,88.352644
CP-HMC-026,HMC,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor Point 1,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor,Ward 36,BIN_CLUSTER,22.585523,88.333952
CP-HMC-027,HMC,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor Point 2,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor,Ward 37,SCRAP_YARD,22.585288,88.329210
CP-HMC-028,HMC,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor Point 3,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor,Ward 38,COMPOST_HUB,22.590096,88.334797
CP-HMC-029,HMC,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor Point 4,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor,Ward 39,MRF,22.580418,88.333755
CP-HMC-030,HMC,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor Point 5,Howrah Maidan Moti Ghosh Ln Near Dr Deepak Kapoor,Ward 40,BIN_CLUSTER,22.590431,88.325830
CP-HMC-031,HMC,1 Ramrajatala Station Rd Opposite Icici Bank Point 1,1 Ramrajatala Station Rd Opposite Icici Bank,Ward 43,SCRAP_YARD,22.585890,88.304448
CP-HMC-032,HMC,1 Ramrajatala Station Rd Opposite Icici Bank Point 2,1 Ramrajatala Station Rd Opposite Icici Bank,Ward 44,COMPOST_HUB,22.587385,88.299983
CP-HMC-033,HMC,1 Ramrajatala Station Rd Opposite Icici Bank Point 3,1 Ramrajatala Station Rd Opposite Icici Bank,Ward 45,MRF,22.589795,88.307161
